alpha,space,cell_idx,kl_div,lipschitz
0.001,X,0,0.008333882316946983,0.6953032612800598
0.001,X,1,18.58916473388672,4.293174743652344
0.001,X,2,5.112734794616699,4.866945743560791
0.001,X,3,12.61194133758545,1.0
0.001,X,4,242.1855926513672,0.19310623407363892
0.001,X,5,22.00934410095215,2.5013837814331055
0.001,X,6,12.404960632324219,4.751829624176025
0.001,X,7,10.112411499023438,2.3202064037323
0.001,X,8,-5.0,-5.0
0.001,X,9,-5.0,-5.0
0.001,X,10,-5.0,-5.0
0.001,X,11,-5.0,-5.0
0.001,X,12,-5.0,-5.0
0.001,X,13,-5.0,-5.0
0.001,X,14,-5.0,-5.0
0.001,X,15,-5.0,-5.0
0.001,X,16,-5.0,-5.0
0.001,X,17,-5.0,-5.0
0.001,X,18,-5.0,-5.0
0.001,X,19,-5.0,-5.0
0.001,X,20,-5.0,-5.0
0.001,X,21,-5.0,-5.0
0.001,X,22,-5.0,-5.0
0.001,X,23,-5.0,-5.0
0.001,X,24,-5.0,-5.0
0.001,X,25,-5.0,-5.0
0.001,X,26,-5.0,-5.0
0.001,X,27,-5.0,-5.0
0.001,X,28,-5.0,-5.0
0.001,X,29,-5.0,-5.0
0.001,X,30,-5.0,-5.0
0.001,X,31,-5.0,-5.0
0.001,X,32,-5.0,-5.0
0.001,X,33,-5.0,-5.0
0.001,X,34,-5.0,-5.0
0.001,X,35,-5.0,-5.0
0.001,X,36,-5.0,-5.0
0.001,X,37,-5.0,-5.0
0.001,X,38,-5.0,-5.0
0.001,X,39,-5.0,-5.0
0.001,X,40,-5.0,-5.0
0.001,X,41,-5.0,-5.0
0.001,X,42,-5.0,-5.0
0.001,X,43,-5.0,-5.0
0.001,X,44,-5.0,-5.0
0.001,X,45,-5.0,-5.0
0.001,X,46,-5.0,-5.0
0.001,X,47,-5.0,-5.0
0.001,X,48,-5.0,-5.0
0.001,X,49,-5.0,-5.0
0.001,X,50,-5.0,-5.0
0.001,X,51,-5.0,-5.0
0.001,X,52,-5.0,-5.0
0.001,X,53,-5.0,-5.0
0.001,X,54,-5.0,-5.0
0.001,X,55,-5.0,-5.0
0.001,X,56,-5.0,-5.0
0.001,X,57,-5.0,-5.0
0.001,X,58,-5.0,-5.0
0.001,X,59,-5.0,-5.0
0.001,X,60,-5.0,-5.0
0.001,X,61,-5.0,-5.0
0.001,X,62,-5.0,-5.0
0.001,X,63,-5.0,-5.0
0.001,X,64,-5.0,-5.0
0.001,X,65,-5.0,-5.0
0.001,X,66,-5.0,-5.0
0.001,X,67,-5.0,-5.0
0.001,X,68,-5.0,-5.0
0.001,X,69,-5.0,-5.0
0.001,X,70,-5.0,-5.0
0.001,X,71,-5.0,-5.0
0.001,X,72,-5.0,-5.0
0.001,X,73,-5.0,-5.0
0.001,X,74,-5.0,-5.0
0.001,X,75,-5.0,-5.0
0.001,X,76,-5.0,-5.0
0.001,X,77,-5.0,-5.0
0.001,X,78,-5.0,-5.0
0.001,X,79,-5.0,-5.0
0.001,X,80,-5.0,-5.0
0.001,X,81,-5.0,-5.0
0.001,X,82,-5.0,-5.0
0.001,X,83,-5.0,-5.0
0.001,X,84,-5.0,-5.0
0.001,X,85,-5.0,-5.0
0.001,X,86,-5.0,-5.0
0.001,X,87,-5.0,-5.0
0.001,X,88,-5.0,-5.0
0.001,X,89,-5.0,-5.0
0.001,X,90,-5.0,-5.0
0.001,X,91,-5.0,-5.0
0.001,X,92,-5.0,-5.0
0.001,X,93,-5.0,-5.0
0.001,X,94,-5.0,-5.0
0.001,X,95,-5.0,-5.0
0.001,X,96,-5.0,-5.0
0.001,X,97,-5.0,-5.0
0.001,X,98,-5.0,-5.0
0.001,X,99,-5.0,-5.0
0.001,X,100,-5.0,-5.0
0.001,X,101,-5.0,-5.0
0.001,X,102,-5.0,-5.0
0.001,X,103,-5.0,-5.0
0.001,X,104,-5.0,-5.0
0.001,X,105,-5.0,-5.0
0.001,X,106,-5.0,-5.0
0.001,X,107,-5.0,-5.0
0.001,X,108,-5.0,-5.0
0.001,X,109,-5.0,-5.0
0.001,X,110,-5.0,-5.0
0.001,X,111,-5.0,-5.0
0.001,X,112,-5.0,-5.0
0.001,X,113,-5.0,-5.0
0.001,X,114,-5.0,-5.0
0.001,X,115,-5.0,-5.0
0.001,X,116,-5.0,-5.0
0.001,X,117,-5.0,-5.0
0.001,X,118,-5.0,-5.0
0.001,X,119,-5.0,-5.0
0.001,X,120,-5.0,-5.0
0.001,X,121,-5.0,-5.0
0.001,X,122,-5.0,-5.0
0.001,X,123,-5.0,-5.0
0.001,X,124,-5.0,-5.0
0.001,X,125,-5.0,-5.0
0.001,X,126,-5.0,-5.0
0.001,X,127,-5.0,-5.0
0.001,X,128,-5.0,-5.0
0.001,X,129,-5.0,-5.0
0.001,X,130,-5.0,-5.0
0.001,X,131,-5.0,-5.0
0.001,X,132,-5.0,-5.0
0.001,X,133,-5.0,-5.0
0.001,X,134,-5.0,-5.0
0.001,X,135,-5.0,-5.0
0.001,X,136,-5.0,-5.0
0.001,X,137,-5.0,-5.0
0.001,X,138,-5.0,-5.0
0.001,X,139,-5.0,-5.0
0.001,X,140,-5.0,-5.0
0.001,X,141,-5.0,-5.0
0.001,X,142,-5.0,-5.0
0.001,X,143,-5.0,-5.0
0.001,X,144,-5.0,-5.0
0.001,X,145,-5.0,-5.0
0.001,X,146,-5.0,-5.0
0.001,X,147,-5.0,-5.0
0.001,X,148,-5.0,-5.0
0.001,X,149,-5.0,-5.0
0.001,X,150,-5.0,-5.0
0.001,X,151,-5.0,-5.0
0.001,X,152,-5.0,-5.0
0.001,X,153,-5.0,-5.0
0.001,X,154,-5.0,-5.0
0.001,X,155,-5.0,-5.0
0.001,X,156,-5.0,-5.0
0.001,X,157,-5.0,-5.0
0.001,X,158,-5.0,-5.0
0.001,X,159,-5.0,-5.0
0.001,X,160,-5.0,-5.0
0.001,X,161,-5.0,-5.0
0.001,X,162,-5.0,-5.0
0.001,X,163,-5.0,-5.0
0.001,X,164,-5.0,-5.0
0.001,X,165,-5.0,-5.0
0.001,X,166,-5.0,-5.0
0.001,X,167,-5.0,-5.0
0.001,X,168,-5.0,-5.0
